,MAE,RMSE,R2
baseline_xgboost,88420.97075411734,129831.7052859045,0.8805284308939726
rt_transformer,91642.90625,138278.9130417216,0.8644763827323914
crossformer,301259.34375,433490.76114722446,-0.03726561740040779
tabtransformer,103706.78125,160105.57157076077,0.8183162808418274
