name,Price,year,fuel_type,kms_driven,company
Hyundai i10,249000.00000000003,2009,Petrol,80000.0,Hyundai
Maruti Alto K10,385000.0,2017,Petrol,52204.0,Maruti
Hyundai i20,300000.0,2012,Petrol,110000.0,Hyundai
Maruti Alto 800,276000.0,2014,Petrol,29813.0,Maruti
Ford Figo,500000.0,2018,Petrol,30000.0,Ford
Maruti Ignis,730000.0,2020,Petrol,13345.0,Maruti
Hyundai Grand i10,399000.0,2014,Petrol,75000.0,Hyundai
Hyundai i10,312000.0,2011,Petrol,75523.0,Hyundai
Mahindra XUV500,1275000.0,2015,Diesel,47000.0,Mahindra
Renault Triber,719000.0,2020,Petrol,28253.0,Renault
Hyundai Creta,1260000.0,2016,Diesel,50000.0,Hyundai
Hyundai i10,300000.0,2010,Petrol,90000.0,Hyundai
Hyundai i20,627000.0,2016,Petrol,52571.0,Hyundai
BMW 3 Series,1300000.0,2010,Diesel,70000.0,BMW
Honda City,672000.0,2015,Petrol,61993.0,Honda
Hyundai i20,440000.00000000006,2013,Petrol,36359.0,Hyundai
Tata Harrier,1460000.0,2019,Diesel,70000.0,Tata
Hyundai Verna,1033000.0,2017,Petrol,30301.0,Hyundai
Hyundai i10,275000.0,2010,Petrol,66000.0,Hyundai
Hyundai i20,676000.0,2017,Petrol,56010.0,Hyundai
Nissan Terrano,650000.0,2014,Diesel,60000.0,Nissan
Maruti Swift,444000.00000000006,2014,Diesel,83829.0,Maruti
Renault KWID,510000.0,2020,Petrol,10000.0,Renault
Renault Duster,925000.0,2016,Diesel,35000.0,Renault
Honda City,1024000.0,2019,Petrol,51116.0,Honda
Skoda Rapid,500000.0,2016,Diesel,80000.0,Skoda
Volkswagen Polo,995000.0,2017,Petrol,40000.0,Volkswagen
Honda CR-V,935000.0,2012,Petrol,85565.0,Honda
Ford Ecosport,834000.0,2018,Petrol,36916.0,Ford
Volkswagen Polo,560000.0,2015,Diesel,90000.0,Volkswagen
Maruti Swift,454000.0,2012,Petrol,112795.0,Maruti
Toyota Innova,1100000.0,2014,Petrol,120000.0,Toyota
Honda Brio,462000.0,2016,Petrol,36685.0,Honda
Hyundai Santa Fe,900000.0,2012,Diesel,120000.0,Hyundai
Maruti Baleno,843000.0,2019,Petrol,32184.0,Maruti
Maruti Baleno RS,799000.0,2018,Petrol,32279.0,Maruti
Hyundai i20,576000.0,2015,Petrol,59698.0,Hyundai
Renault Captur,949000.0,2018,Diesel,46071.0,Renault
Maruti Vitara Brezza,795000.0,2017,Diesel,90000.0,Maruti
Hyundai Venue,1085000.0,2019,Petrol,9554.0,Hyundai
Renault Duster,516000.0,2013,Diesel,74499.0,Renault
Ford Ecosport,777000.0,2017,Petrol,56211.0,Ford
Honda Jazz,753000.0,2019,Petrol,9001.0,Honda
Mahindra XUV500,1226000.0,2017,Diesel,65457.0,Mahindra
Honda Jazz,725000.0,2017,Petrol,23682.0,Honda
Hyundai Verna,1150000.0,2020,Diesel,50000.0,Hyundai
Maruti Swift,629000.0,2015,Diesel,134557.0,Maruti
Maruti Swift Dzire,447000.0,2013,Petrol,96567.0,Maruti
Maruti Celerio,400000.0,2015,Petrol,120000.0,Maruti
Maruti Ertiga,786000.0,2014,Diesel,83007.0,Maruti
Honda Jazz,745000.0,2018,Petrol,34000.0,Honda
Hyundai Grand i10,490000.00000000006,2014,Petrol,81634.0,Hyundai
Honda City,942000.0,2017,Petrol,57284.0,Honda
Ford Ecosport,675000.0,2016,Petrol,70000.0,Ford
Honda Brio,330000.0,2013,Petrol,70000.0,Honda
Toyota Yaris,875000.0,2018,Petrol,46429.0,Toyota
Maruti Baleno,869000.0,2017,Petrol,17624.0,Maruti
Volkswagen Vento,425000.0,2012,Diesel,100000.0,Volkswagen
Honda City,1070000.0,2019,Petrol,30000.0,Honda
Ford Ecosport,1025000.0,2018,Petrol,49690.0,Ford
Mahindra XUV500,1000000.0,2016,Diesel,110000.0,Mahindra
Fiat Linea,375000.0,2009,Petrol,50000.0,Fiat
Fiat Linea,375000.0,2009,Petrol,50000.0,Fiat
Ford Ecosport,844000.0,2018,Petrol,55702.0,Ford
Hyundai i20 Active,764000.0,2016,Diesel,45046.0,Hyundai
Maruti Ritz,420000.0,2014,Petrol,53000.0,Maruti
Maruti Baleno,684000.0,2016,Diesel,94695.0,Maruti
Maruti Baleno,802999.9999999999,2019,Petrol,22162.0,Maruti
Hyundai Santro Xing,320000.0,2010,Petrol,70000.0,Hyundai
Honda City,803999.9999999999,2017,Diesel,115331.0,Honda
Mercedes-Benz E-Class,1400000.0,2013,Diesel,70000.0,Mercedes-Benz
Maruti Swift,548000.0,2016,Petrol,42233.0,Maruti
Hyundai Grand i10,619000.0,2019,Petrol,20941.0,Hyundai
Maruti Vitara Brezza,1000000.0,2018,Diesel,50000.0,Maruti
Honda WR-V,865000.0,2018,Petrol,46602.0,Honda
Mahindra Ssangyong Rexton,1000000.0,2014,Diesel,50000.0,Mahindra Ssangyong
Maruti Swift,535000.0,2014,Diesel,104000.0,Maruti
Ford Ecosport,975000.0,2018,Diesel,90000.0,Ford
Maruti Baleno,699000.0,2017,Petrol,50035.0,Maruti
Tata Nexon,1150000.0,2021,Petrol,80000.0,Tata
Hyundai i20,625000.0,2015,Petrol,90000.0,Hyundai
Mercedes-Benz E-Class,1000000.0,2011,Diesel,90000.0,Mercedes-Benz
Toyota Corolla Altis,600000.0,2011,Diesel,120000.0,Toyota
Maruti Swift Dzire,675000.0,2015,Petrol,25170.0,Maruti
Maruti Ciaz,893000.0,2021,Petrol,25022.0,Maruti
Maruti Swift,420000.0,2012,Diesel,100000.0,Maruti
Maruti Ciaz,941000.0,2020,Petrol,26367.0,Maruti
Hyundai Elantra,630000.0,2015,Petrol,76567.0,Hyundai
Toyota Innova,1275000.0,2013,Diesel,120000.0,Toyota
Hyundai Grand i10,525000.0,2015,Petrol,36459.0,Hyundai
Maruti SX4 S Cross,750000.0,2016,Diesel,93725.0,Maruti
Maruti Ciaz,632000.0,2016,Petrol,115599.0,Maruti
Maruti Swift Dzire,645000.0,2015,Petrol,43469.0,Maruti
Ford Ikon,500000.0,2005,Petrol,70000.0,Ford
Maruti Vitara Brezza,850000.0,2018,Diesel,100000.0,Maruti
Mitsubishi Cedia,299000.0,2008,Petrol,72000.0,Mitsubishi
Volkswagen Polo,999000.0,2021,Petrol,40771.0,Volkswagen
Honda Jazz,825000.0,2018,Petrol,28000.0,Honda
Maruti Wagon R,250000.0,2008,Petrol,40000.0,Maruti
Hyundai Venue,1295000.0,2020,Petrol,26000.0,Hyundai
Maruti Wagon R,329000.0,2012,Petrol,76032.0,Maruti
Maruti Ciaz,666000.0,2018,Petrol,113780.0,Maruti
Hyundai Venue,1026000.0,2020,Diesel,65812.0,Hyundai
Skoda Kushaq,1700000.0,2022,Petrol,10000.0,Skoda
Maruti Baleno,681000.0,2016,Petrol,39959.0,Maruti
Hyundai Alcazar,1689999.9999999998,2022,Petrol,10000.0,Hyundai
Maruti Alto K10,318000.0,2016,Petrol,65484.0,Maruti
Maruti Baleno,688000.0,2017,Petrol,49174.0,Maruti
Volkswagen Taigun,1300000.0,2022,Petrol,20000.0,Volkswagen
Hyundai i10,265000.0,2009,Petrol,50000.0,Hyundai
Maruti Swift Dzire,645000.0,2018,Petrol,40000.0,Maruti
BMW 3 Series,900000.0,2007,Petrol,50000.0,BMW
Maruti Swift,620000.0,2020,Petrol,80000.0,Maruti
MG Astor,1470000.0,2022,Petrol,20000.0,MG
Hyundai Accent,220000.00000000003,2010,Cng,70000.0,Hyundai
Audi A4,1475000.0,2014,Diesel,90000.0,Audi
Renault KWID,415000.00000000006,2020,Petrol,40000.0,Renault
Honda Jazz,610000.0,2016,Petrol,63797.0,Honda
Hyundai Grand i10,560000.0,2018,Petrol,60216.0,Hyundai
Maruti Alto K10,425000.0,2015,Petrol,10000.0,Maruti
Maruti Baleno,686000.0,2016,Petrol,38153.0,Maruti
Maruti Swift,517000.0,2015,Petrol,76485.0,Maruti
Maruti Wagon R,385000.0,2015,Petrol,40000.0,Maruti
Maruti Baleno,675000.0,2016,Petrol,40623.0,Maruti
Maruti Swift,499000.0,2014,Petrol,88051.0,Maruti
Maruti Swift,774000.0,2022,Petrol,16522.0,Maruti
Jeep Compass,1475000.0,2019,Diesel,70000.0,Jeep
Maruti Wagon R,240000.0,2008,Petrol,80000.0,Maruti
Hyundai Venue,1025000.0,2019,Diesel,50000.0,Hyundai
Tata Nexon,1400000.0,2023,Petrol,10000.0,Tata
Hyundai EON,285000.0,2013,Petrol,57000.0,Hyundai
Mahindra XUV500,1000000.0,2016,Diesel,110000.0,Mahindra
Maruti Baleno,780000.0,2019,Petrol,10000.0,Maruti
Maruti Swift,475000.0,2012,Petrol,50000.0,Maruti
Mahindra XUV300,750000.0,2019,Diesel,120000.0,Mahindra
Hyundai Grand i10,555000.0,2014,Petrol,35469.0,Hyundai
Honda Jazz,607000.0,2017,Petrol,40073.0,Honda
Hyundai Grand i10,514000.0,2017,Petrol,65730.0,Hyundai
Maruti Baleno,250000.0,2005,Petrol,120000.0,Maruti
Maruti Baleno,705000.0,2016,Petrol,36184.0,Maruti
Maruti Baleno,653000.0,2016,Petrol,69310.0,Maruti
